Id,Category
0,3
1,8
2,6
3,9
4,6
5,6
6,8
7,3
8,8
9,4
10,5
11,2
12,3
13,8
14,4
15,8
16,1
17,3
18,0
19,5
20,9
21,7
22,4
23,1
24,0
25,3
26,6
27,4
28,2
29,9
30,9
31,4
32,1
33,3
34,6
35,8
36,0
37,7
38,7
39,6
40,8
41,9
42,0
43,3
44,8
45,3
46,2
47,7
48,3
49,4
50,4
51,1
52,2
53,9
54,2
55,1
56,1
57,0
58,6
59,6
60,5
61,0
62,1
63,1
64,7
65,2
66,7
67,9
68,1
69,4
70,0
71,5
72,0
73,6
74,8
75,7
76,6
77,8
78,5
79,9
80,4
81,0
82,0
83,1
84,9
85,7
86,6
87,8
88,7
89,4
90,9
91,4
92,6
93,6
94,3
95,7
96,2
97,8
98,6
99,7
100,7
101,0
102,9
103,1
104,6
105,8
106,8
107,3
108,6
109,4
110,9
111,5
112,9
113,6
114,8
115,7
116,3
117,8
118,6
119,9
120,4
121,7
122,6
123,0
124,9
125,6
126,7
127,0
128,9
129,7
130,1
131,3
132,6
133,8
134,4
135,6
136,1
137,7
138,5
139,7
140,3
141,3
142,5
143,7
144,4
145,4
146,6
147,7
148,3
149,4
150,1
151,0
152,4
153,2
154,4
155,3
156,0
157,8
158,1
159,6
160,6
161,4
162,2
163,4
164,4
165,6
166,3
167,2
168,5
169,9
170,8
171,8
172,8
173,5
174,9
175,3
176,8
177,4
178,8
179,8
180,8
181,3
182,4
183,4
184,3
185,0
186,4
187,5
188,4
189,4
190,1
191,8
192,0
193,6
194,1
195,3
196,2
197,0
198,8
199,6
200,0
201,3
202,5
203,4
204,9
205,0
206,3
207,1
208,0
209,9
210,3
211,2
212,8
213,3
214,3
215,7
216,4
217,4
218,2
219,1
220,6
221,2
222,1
223,5
224,4
225,1
226,9
227,7
228,0
229,7
230,2
231,8
232,1
233,7
234,7
235,2
236,8
237,1
238,8
239,3
240,3
241,6
242,6
243,4
244,7
245,9
246,3
247,2
248,9
249,1
250,5
251,2
252,5
253,3
254,7
255,7
256,3
257,0
258,8
259,2
260,3
261,1
262,3
263,5
264,1
265,3
266,6
267,4
268,8
269,7
270,6
271,2
272,8
273,1
274,3
275,6
276,6
277,8
278,2
279,5
280,6
281,0
282,4
283,8
284,4
285,9
286,3
287,2
288,3
289,6
290,2
291,0
292,4
293,1
294,0
295,2
296,5
297,3
298,0
299,4
300,3
301,5
302,8
303,8
304,9
305,7
306,8
307,2
308,3
309,9
310,0
311,0
312,3
313,1
314,4
315,2
316,5
317,3
318,7
319,0
320,7
321,8
322,3
323,6
324,0
325,7
326,1
327,8
328,0
329,7
330,3
331,0
332,5
333,1
334,2
335,2
336,3
337,3
338,1
339,4
340,2
341,5
342,3
343,6
344,0
345,7
346,7
347,8
348,2
349,9
350,1
351,9
352,5
353,0
354,0
355,1
356,1
357,0
358,9
359,1
360,7
361,3
362,1
363,8
364,3
365,7
366,0
367,1
368,2
369,8
370,7
371,0
372,3
373,7
374,3
375,7
376,7
377,7
378,3
379,2
380,7
381,2
382,7
383,5
384,9
385,0
386,9
387,6
388,4
389,4
390,0
391,9
392,7
393,8
394,8
395,5
396,2
397,1
398,5
399,5
400,7
401,3
402,5
403,9
404,1
405,4
406,6
407,0
408,9
409,5
410,8
411,4
412,3
413,5
414,3
415,6
416,4
417,8
418,2
419,1
420,5
421,8
422,5
423,0
424,6
425,6
426,2
427,4
428,4
429,8
430,5
431,8
432,4
433,1
434,0
435,0
436,9
437,1
438,7
439,9
440,7
441,2
442,3
443,7
444,0
445,9
446,2
447,1
448,8
449,2
450,4
451,5
452,2
453,1
454,8
455,7
456,5
457,2
458,9
459,5
460,5
461,7
462,9
463,0
464,7
465,1
466,4
467,9
468,7
469,6
470,3
471,4
472,1
473,7
474,2
475,2
476,0
477,1
478,2
479,2
480,0
481,3
482,1
483,7
484,5
485,0
486,4
487,2
488,7
489,7
490,9
491,3
492,0
493,1
494,6
495,2
496,2
497,5
498,4
499,8
500,3
501,1
502,4
503,6
504,2
505,5
506,8
507,5
508,2
509,6
510,4
511,0
512,8
513,5
514,3
515,9
516,3
517,4
518,0
519,9
520,5
521,2
522,8
523,0
524,8
525,1
526,0
527,2
528,7
529,3
530,8
531,4
532,8
533,5
534,0
535,9
536,7
537,7
538,2
539,0
540,5
541,1
542,0
543,2
544,9
545,3
546,3
547,4
548,3
549,5
550,1
551,6
552,8
553,7
554,3
555,8
556,6
557,9
558,4
559,0
560,5
561,1
562,7
563,2
564,4
565,3
566,0
567,4
568,2
569,5
570,5
571,9
572,2
573,5
574,5
575,2
576,6
577,1
578,9
579,7
580,6
581,2
582,1
583,4
584,6
585,1
586,3
587,4
588,6
589,1
590,6
591,1
592,5
593,9
594,6
595,6
596,8
597,8
598,6
599,4
600,1
601,5
602,5
603,3
604,8
605,3
606,4
607,9
608,1
609,4
610,8
611,3
612,6
613,3
614,7
615,3
616,2
617,0
618,0
619,6
620,7
621,1
622,6
623,6
624,5
625,9
626,8
627,7
628,0
629,0
630,0
631,1
632,5
633,5
634,9
635,6
636,4
637,3
638,0
639,8
640,2
641,5
642,2
643,0
644,3
645,6
646,1
647,1
648,4
649,5
650,3
651,8
652,1
653,4
654,0
655,7
656,4
657,6
658,3
659,9
660,8
661,1
662,5
663,9
664,7
665,7
666,6
667,1
668,7
669,2
670,1
671,3
672,3
673,4
674,2
675,5
676,2
677,5
678,1
679,2
680,3
681,7
682,1
683,3
684,0
685,1
686,9
687,8
688,8
689,2
690,9
691,2
692,8
693,3
694,4
695,2
696,0
697,7
698,0
699,4
700,7
701,9
702,8
703,9
704,4
705,2
706,7
707,8
708,7
709,1
710,9
711,8
712,4
713,3
714,3
715,8
716,8
717,3
718,5
719,6
720,2
721,7
722,2
723,0
724,9
725,4
726,3
727,0
728,3
729,0
730,7
731,1
732,7
733,2
734,4
735,3
736,2
737,9
738,8
739,5
740,8
741,6
742,7
743,1
744,2
745,8
746,9
747,8
748,2
749,0
750,0
751,3
752,7
753,8
754,9
755,3
756,2
757,4
758,9
759,5
760,7
761,6
762,8
763,7
764,5
765,8
766,5
767,9
768,5
769,0
770,3
771,8
772,1
773,2
774,0
775,3
776,6
777,4
778,5
779,5
780,6
781,6
782,5
783,7
784,9
785,8
786,8
787,9
788,1
789,6
790,8
791,8
792,7
793,6
794,7
795,7
796,7
797,1
798,9
799,1
800,5
801,4
802,2
803,3
804,0
805,7
806,9
807,9
808,0
809,3
810,6
811,6
812,2
813,0
814,3
815,3
816,9
817,6
818,6
819,9
820,0
821,8
822,7
823,6
824,3
825,0
826,3
827,2
828,2
829,6
830,1
831,3
832,9
833,9
834,3
835,4
836,6
837,2
838,6
839,0
840,2
841,4
842,1
843,6
844,4
845,9
846,4
847,1
848,5
849,7
850,1
851,9
852,0
853,5
854,9
855,1
856,6
857,1
858,4
859,4
860,8
861,8
862,0
863,6
864,1
865,6
866,6
867,9
868,7
869,8
870,6
871,8
872,7
873,8
874,7
875,2
876,0
877,7
878,7
879,4
880,6
881,3
882,9
883,8
884,7
885,3
886,9
887,5
888,6
889,4
890,6
891,1
892,3
893,6
894,7
895,3
896,4
897,2
898,3
899,2
900,8
901,2
902,8
903,7
904,5
905,7
906,3
907,1
908,5
909,0
910,7
911,1
912,6
913,2
914,1
915,3
916,4
917,4
918,1
919,5
920,7
921,6
922,3
923,7
924,0
925,8
926,5
927,9
928,1
929,0
930,0
931,7
932,6
933,2
934,6
935,3
936,3
937,4
938,6
939,5
940,3
941,6
942,1
943,7
944,8
945,8
946,3
947,7
948,4
949,0
950,3
951,1
952,1
953,2
954,5
955,3
956,1
957,9
958,0
959,5
960,3
961,6
962,2
963,7
964,3
965,8
966,2
967,7
968,0
969,3
970,8
971,2
972,3
973,9
974,0
975,3
976,3
977,2
978,7
979,1
980,4
981,4
982,3
983,5
984,7
985,5
986,2
987,2
988,8
989,3
990,0
991,2
992,7
993,7
994,3
995,3
996,3
997,9
998,4
999,7
1000,7
1001,2
1002,0
1003,1
1004,1
1005,1
1006,0
1007,8
1008,8
1009,8
1010,1
1011,7
1012,9
1013,3
1014,8
1015,1
1016,4
1017,0
1018,4
1019,0
1020,9
1021,6
1022,9
1023,7
1024,0
1025,7
1026,4
1027,5
1028,4
1029,0
1030,3
1031,6
1032,7
1033,1
1034,7
1035,1
1036,4
1037,2
1038,3
1039,5
1040,5
1041,0
1042,4
1043,7
1044,0
1045,0
1046,4
1047,4
1048,1
1049,4
1050,5
1051,1
1052,0
1053,8
1054,2
1055,6
1056,4
1057,8
1058,8
1059,0
1060,1
1061,0
1062,7
1063,3
1064,2
1065,7
1066,6
1067,1
1068,7
1069,6
1070,3
1071,4
1072,5
1073,2
1074,7
1075,6
1076,4
1077,4
1078,8
1079,5
1080,2
1081,9
1082,9
1083,1
1084,7
1085,3
1086,5
1087,8
1088,7
1089,6
1090,2
1091,3
1092,3
1093,9
1094,8
1095,9
1096,6
1097,5
1098,4
1099,4
1100,2
1101,3
1102,7
1103,7
1104,5
1105,8
1106,3
1107,5
1108,0
1109,6
1110,1
1111,2
1112,1
1113,7
1114,4
1115,6
1116,3
1117,2
1118,2
1119,2
1120,1
1121,0
1122,0
1123,9
1124,5
1125,4
1126,7
1127,0
1128,8
1129,7
1130,5
1131,2
1132,4
1133,3
1134,6
1135,4
1136,1
1137,5
1138,7
1139,6
1140,9
1141,7
1142,3
1143,8
1144,5
1145,9
1146,4
1147,0
1148,0
1149,1
1150,0
1151,2
1152,6
1153,2
1154,3
1155,4
1156,9
1157,5
1158,8
1159,6
1160,8
1161,7
1162,2
1163,8
1164,9
1165,9
1166,7
1167,0
1168,9
1169,1
1170,4
1171,2
1172,8
1173,3
1174,4
1175,2
1176,5
1177,5
1178,7
1179,6
1180,3
1181,7
1182,4
1183,8
1184,8
1185,9
1186,0
1187,1
1188,1
1189,8
1190,1
1191,6
1192,9
1193,7
1194,9
1195,1
1196,3
1197,1
1198,7
1199,4
1200,4
1201,3
1202,4
1203,7
